Name,Description,Start time,End time,Location Latitude,Location Longitude,Image url,Source ID
Day 0 - Help Desk / Hanging Out,"A special Help Desk for PHP, eZ, and JS tracks will be organized, with hanging out over complimentary welcome drinks. Hanging out will be held in front of the conference halls (one floor below reception). Help Desk will be organized in one of the halls.","Tue, 29 Aug 2017 18:00:00 +0200","Tue, 29 Aug 2017 19:30:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/networking.png?raw=true,day0-helpdesk
Day 1 - Morning recreation,"In a few words: easy-going, fun, and recreational. Go for a swim or a run early in the morning and start the day afresh.","Wed, 30 Aug 2017 07:30:00 +0200","Wed, 30 Aug 2017 08:30:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/swimming.png?raw=true,day1-recreation
Day 1 - Registration & Coffee Hangout,In front of the conference halls (one floor below reception).,"Wed, 30 Aug 2017 08:00:00 +0200","Wed, 30 Aug 2017 09:20:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/logo.png?raw=true,day1-registration
Day 1 - Shortest Opening Keynote Ever,,"Wed, 30 Aug 2017 09:20:00 +0200","Wed, 30 Aug 2017 09:30:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/workshop.png?raw=true,day1-keynote
"Day 1 - They came for the offline-first, but they stayed for the performance ","There's a big push for offline-first development, with a new buzzword — ""Progressive Web App"", or PWA — making the rounds for the last year or two. But a lot of what's being said sounds like the coding equivalent of ""eat your vegetables!"" What's in it for ME? Quite a bit, it turns out. In this talk, Jason will share the surprising ways online apps will see huge benefits when they're built to support offline users. Learn how to ace the Lighthouse test with just a few simple changes and how you can easily create offline-first apps with just a few lines of code; also how going offline-first will improve the connected experience, including better performance, increased stability and reliability, improved user experience, and more! So, in addition to eating your vegetables — you know, making your web apps usable for people with slow and unreliable connections or whatever — you'll ALSO see your apps get even better for connected users. And all with minimal development effort required.","Wed, 30 Aug 2017 09:30:00 +0200","Wed, 30 Aug 2017 12:45:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/workshop.png?raw=true,day1-pwa
Day 1 - Lunch,"Restaurant On, across the conference halls (one floor below reception).","Wed, 30 Aug 2017 12:45:00 +0200","Wed, 30 Aug 2017 13:45:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/networking.png?raw=true,day1-lunch
Day 1 - Universal JS web applications with React ,"Since we started seeing JS on the server side, the developers' dream has been to reduce the gap and the cost of switch between frontend and backend. Today with Node.js, React, and a whole ecosystem of tools, this dream is becoming true! In this workshop, Luciano is going to discuss Universal (a.k.a. Isomorphic) JS and present some practical examples regarding the major patterns related to routing, data retrieval, and rendering. He will use Node, React, webpack, Babel, and React Router, and give you a series of examples to get you started easily with this new technology trend.","Wed, 30 Aug 2017 13:45:00 +0200","Wed, 30 Aug 2017 17:00:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/workshop.png?raw=true,day1-react
Day 1 - All Aboard Dinner,Join us for dinner at the wonderful Oleander restaurant next to the Hotel Eden pool and the romantic promenade. Enjoy the lovely ambience of the restaurant's terrace in the pleasant company of other participants and companions. Dinner is in the ticket price. Do not forget to wear your websc pass at all times.,"Wed, 30 Aug 2017 20:00:00 +0200","Wed, 30 Aug 2017 21:00:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/networking.png?raw=true,day1-dinner
Day 2 - Morning recreation,"In a few words: easy-going, fun, and recreational. Go for a swim or a run early in the morning and start the day afresh.","Thu, 31 Aug 2017 07:30:00 +0200","Thu, 31 Aug 2017 08:30:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/running.png?raw=true,day2-recreation
Day 2 - Coffee Hangout,In front of the conference halls (one floor below reception).,"Thu, 31 Aug 2017 08:30:00 +0200","Thu, 31 Aug 2017 09:30:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/networking.png?raw=true,day2-hangout
Day 2 - Working with JavaScript module systems ,"You'll be walking through the history of the way people have been managing dependencies in JavaScript, taking a look at how the various approaches work and why they were invented. The focus will be on ""modern"" module systems – CommonJS and ES6 modules – and how and when to use these without destroying your debugging experience or page-load speed.","Thu, 31 Aug 2017 09:30:00 +0200","Thu, 31 Aug 2017 12:45:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/workshop.png?raw=true,day2-jsmodules
Day 2 - Lunch,"Restaurant On, across the conference halls (one floor below reception).","Thu, 31 Aug 2017 12:45:00 +0200","Thu, 31 Aug 2017 13:45:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/networking.png?raw=true,day2-lunch
Day 2 - Supercharged React Native development with Shoutem,"React Native is an awesome technology for building native mobile apps. However, creating an app still remains a cumbersome task. Did we reach the maximum of development efficiency? Shoutem designed an architecture to eliminate all the boilerplate steps when building an app with its open-sourced plugins, cloud storage, and automated publishing of app to both stores. In this workshop, we will show you how to create and publish a unique production-ready application.","Thu, 31 Aug 2017 13:45:00 +0200","Thu, 31 Aug 2017 17:00:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/workshop.png?raw=true,day2-shoutem
Day 2 - Web Battle,Unconference session – a participant-driven meeting where anyone who wants to present a topic can claim a brief time to do so. A special award awaiting the highest-rated speaker!,"Thu, 31 Aug 2017 17:00:00 +0200","Thu, 31 Aug 2017 18:00:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/workshop.png?raw=true,day2-battle
Day 2 - All Aboard Dinner,Join us for dinner at the wonderful Oleander restaurant next to the Hotel Eden pool and the romantic promenade. Enjoy the lovely ambience of the restaurant's terrace in the pleasant company of other participants and companions. Dinner is in the ticket price. Do not forget to wear your websc pass at all times.,"Thu, 31 Aug 2017 20:00:00 +0200","Thu, 31 Aug 2017 21:00:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/networking.png?raw=true,day2-dinner
Day 3 - Morning recreation,"In a few words: easy-going, fun, and recreational. Go for a swim or a run early in the morning and start the day afresh.","Fri, 01 Sep 2017 07:30:00 +0200","Fri, 01 Sep 2017 08:30:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/running.png?raw=true,day3-recreation
Day 3 - Coffee Hangout,In front of the conference halls (one floor below reception).,"Fri, 01 Sep 2017 08:30:00 +0200","Fri, 01 Sep 2017 09:30:00 +0200",45.0731163,13.6371103,https://github.com/shoutem/wsc2017/blob/master/assets/images/networking.png?raw=true,day3-coffee
